name,url
Scrum,https://www.svgrepo.com/show/439311/scrum.svg
Searching,https://www.svgrepo.com/show/439312/searching.svg
Selectors,https://www.svgrepo.com/show/439313/selectors.svg
Seo,https://www.svgrepo.com/show/439314/seo.svg
Serializability,https://www.svgrepo.com/show/439315/serializability.svg
Service Workers,https://www.svgrepo.com/show/439316/service-workers.svg
Shadow Dom,https://www.svgrepo.com/show/439317/shadow-dom.svg
Shape Detection,https://www.svgrepo.com/show/439318/shape-detection.svg
Shadow Parts,https://www.svgrepo.com/show/439319/shadow-parts.svg
Share,https://www.svgrepo.com/show/439320/share.svg
Singleton,https://www.svgrepo.com/show/439321/singleton.svg
Slots,https://www.svgrepo.com/show/439322/slots.svg
Smacss,https://www.svgrepo.com/show/439323/smacss.svg
Smoke Testing,https://www.svgrepo.com/show/439324/smoke-testing.svg
Snowpack,https://www.svgrepo.com/show/439325/snowpack.svg
Solid,https://www.svgrepo.com/show/439326/solid.svg
Sorting,https://www.svgrepo.com/show/439327/sorting.svg
Space Complexity,https://www.svgrepo.com/show/439328/space-complexity.svg
Spacing,https://www.svgrepo.com/show/439329/spacing.svg
Specifications,https://www.svgrepo.com/show/439330/specifications.svg
